id,name,type,external_id,dataset,platforms,domains,tactics,in_degree,out_degree,total_degree,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness_centrality,closeness_centrality,community_id
intrusion-set--9538b1a4-4120-4e2d-bf59-3b11fcab05a4,TEMP.Veles,intrusion-set,G0088,enterprise,,enterprise-attack | ics-attack,,0,5,5,0.0022893772893772895,0.0,0.0022893772893772895,0.0,0.0,0
campaign--df8eb785-70f8-4300-b444-277ba849083d,2022 Ukraine Electric Power Attack,campaign,C0034,enterprise,,enterprise-attack | ics-attack,,0,16,16,0.007326007326007326,0.0,0.007326007326007326,0.0,0.0,0
intrusion-set--6b9ebeb5-20bf-48b0-afb7-988d769a2f01,DarkHydrus,intrusion-set,G0079,enterprise,,enterprise-attack,,0,10,10,0.004578754578754579,0.0,0.004578754578754579,0.0,0.0,1
intrusion-set--b74f909f-8e52-4b69-b770-162bf59a1b4e,Whitefly,intrusion-set,G0107,enterprise,,enterprise-attack,,0,10,10,0.004578754578754579,0.0,0.004578754578754579,0.0,0.0,1
campaign--4fd53ccc-c6b1-4e3c-abe8-a456d46d789e,3CX Supply Chain Attack,campaign,C0057,enterprise,,enterprise-attack,,0,23,23,0.010531135531135532,0.0,0.010531135531135532,0.0,0.0,3
intrusion-set--90784c1e-4aba-40eb-9adf-7556235e6384,Silent Librarian,intrusion-set,G0122,enterprise,,enterprise-attack,,0,13,13,0.005952380952380952,0.0,0.005952380952380952,0.0,0.0,1
campaign--b4e5a4a9-f3be-4631-ba8f-da6ebb067fac,C0011,campaign,C0011,enterprise,,enterprise-attack,,0,9,9,0.004120879120879121,0.0,0.004120879120879121,0.0,0.0,1
intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648,APT18,intrusion-set,G0026,enterprise,,enterprise-attack,,0,17,17,0.007783882783882784,0.0,0.007783882783882784,0.0,0.0,0
intrusion-set--55033a4d-3ffe-46b2-99b4-2c1541e9ce1c,Carbanak,intrusion-set,G0008,enterprise,,enterprise-attack,,0,13,13,0.005952380952380952,0.0,0.005952380952380952,0.0,0.0,1
intrusion-set--5636b7b3-d99b-4edd-aa05-ee649c1d4ef1,Orangeworm,intrusion-set,G0071,enterprise,,enterprise-attack,,0,10,10,0.004578754578754579,0.0,0.004578754578754579,0.0,0.0,1
campaign--58c4fd17-88f5-433a-8242-e9cac31f3c45,J-magic Campaign,campaign,C0050,enterprise,,enterprise-attack,,0,5,5,0.0022893772893772895,0.0,0.0022893772893772895,0.0,0.0,1
