id,name,type,external_id,dataset,platforms,domains,tactics,in_degree,out_degree,total_degree,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness_centrality,closeness_centrality,community_id,platform_count,domain_count,tactic_count,name_length,description_length,type_code
malware--0b32ec39-ba61-4864-9ebe-b4b0b73caf9a,TDTESS,malware,S0164,enterprise,Windows,enterprise-attack,,1,5,6,0.0034168564920273,0.0005694760820045,0.0028473804100227,0.0,0.0005694760820045,0,1,1,0,6,0,4
malware--0b639373-5f03-430e-b8f9-2fe8c8faad8e,Chinoxy,malware,S1041,enterprise,Windows,enterprise-attack,,1,5,6,0.0034168564920273,0.0005694760820045,0.0028473804100227,0.0,0.0005694760820045,0,1,1,0,7,0,4
malware--0ba9281c-93fa-4b29-8e9e-7ef918c7b13a,SharpStage,malware,S0546,enterprise,Windows,enterprise-attack,,1,11,12,0.0068337129840546,0.0005694760820045,0.0062642369020501,0.0,0.0005694760820045,0,1,1,0,10,0,4
malware--0bf64997-7ce1-43e5-b01a-bcd2bf5dc87f,PAKLOG,malware,S1233,enterprise,Windows,enterprise-attack,,1,10,11,0.0062642369020501,0.0005694760820045,0.0056947608200455,0.0,0.0005694760820045,0,1,1,0,6,0,4
malware--0c242cc5-58d3-4fe3-a866-b00a4b6fb817,COATHANGER,malware,S1105,enterprise,Linux | Network Devices,enterprise-attack,,0,18,18,0.010250569476082,0.0,0.010250569476082,0.0,0.0,0,2,1,0,10,0,4
malware--0c52f5bc-557d-4083-bd27-66d7cdb794bb,Sardonic,malware,S1085,enterprise,Windows,enterprise-attack,,1,25,26,0.0148063781321184,0.0005694760820045,0.0142369020501138,0.0,0.0005694760820045,0,1,1,0,8,0,4
malware--0c824410-58ff-49b2-9cf2-1c96b182bdf0,Smoke Loader,malware,S0226,enterprise,Windows,enterprise-attack,,0,14,14,0.0079726651480637,0.0,0.0079726651480637,0.0,0.0,0,1,1,0,12,0,4
malware--0ced8926-914e-4c78-bc93-356fb90dbd1f,HALFBAKED,malware,S0151,enterprise,,enterprise-attack,,1,6,7,0.0039863325740318,0.0005694760820045,0.0034168564920273,0.0,0.0005694760820045,1,0,1,0,9,0,4
malware--0d1f9f5b-11ea-42c3-b5f4-63cce0122541,WindTail,malware,S0466,enterprise,macOS,enterprise-attack,,1,15,16,0.0091116173120728,0.0005694760820045,0.0085421412300683,0.0,0.0005694760820045,0,1,1,0,8,0,4
malware--0db09158-6e48-4e7c-8ce7-2b10b9c0c039,Misdat,malware,S0083,enterprise,Windows,enterprise-attack,,1,16,17,0.0096810933940774,0.0005694760820045,0.0091116173120728,0.0,0.0005694760820045,0,1,1,0,6,0,4
