id,name,type,external_id,dataset,platforms,domains,tactics,in_degree,out_degree,total_degree,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness_centrality,closeness_centrality,community_id,cluster_id,is_anomaly,pca_x,pca_y
malware--53ab35c2-d00e-491a-8753-41d35ae7e547,DarkComet,malware,S0334,enterprise,Windows,enterprise-attack,,3,18,21,0.0096153846153846,0.0013736263736263,0.0082417582417582,0.0,0.0013736263736263,0,1,0,-0.8281400332246014,1.2241411695814906
malware--53cf6cc4-65aa-445a-bcf8-c3d296f8a7a2,NETEAGLE,malware,S0034,enterprise,Windows,enterprise-attack,,1,11,12,0.0054945054945054,0.0004578754578754,0.00503663003663,0.0,0.0004578754578754,0,1,0,-1.043896230752835,0.6610534205964567
malware--53d47b09-09c2-4015-8d37-6633ecd53f79,POORAIM,malware,S0216,enterprise,Windows,enterprise-attack,,1,6,7,0.0032051282051282,0.0004578754578754,0.0027472527472527,0.0,0.0004578754578754,0,1,0,-1.1175019714872336,0.3000006370574813
malware--54089fba-8662-4f37-9a44-6ad25a5f630a,HUI Loader,malware,S1097,enterprise,Windows,enterprise-attack,,2,3,5,0.0022893772893772,0.0009157509157509,0.0013736263736263,0.0,0.0009157509157509,1,1,0,-1.0525116413239817,-0.0113011148012189
malware--542e3384-341a-455b-bb48-4917b25e3b00,CHIMNEYSWEEP,malware,S1149,enterprise,Windows,enterprise-attack,,1,31,32,0.0146520146520146,0.0004578754578754,0.0141941391941391,0.0,0.0004578754578754,0,1,0,-0.7494732678152299,2.1052645547523596
malware--54895630-efd2-4608-9c24-319de972a9eb,Ragnar Locker,malware,S0481,enterprise,Windows,enterprise-attack,,1,13,14,0.0064102564102564,0.0004578754578754,0.0059523809523809,0.0,0.0004578754578754,0,1,0,-0.937950369417453,0.6695035716337032
malware--54a01db0-9fab-4d5f-8209-53cef8425f4a,FatDuke,malware,S0512,enterprise,Windows,enterprise-attack,,2,21,23,0.0105311355311355,0.0009157509157509,0.0096153846153846,0.0,0.0009157509157509,0,1,0,-0.886898056450632,1.4947308473112464
malware--54a73038-1937-4d71-a253-316e76d5413c,Lucifer,malware,S0532,enterprise,Windows,enterprise-attack,,0,24,24,0.0109890109890109,0.0,0.0109890109890109,0.0,0.0,1,1,0,-0.982472885156157,1.6721544010049327
malware--54cc1d4f-5c53-4f0e-9ef5-11b4998e82e4,BlackEnergy,malware,S0089,enterprise,Windows,enterprise-attack | ics-attack,,2,28,30,0.0137362637362637,0.0009157509157509,0.0128205128205128,0.0,0.0009157509157509,0,4,0,-0.895945319734711,3.1448202601097437
malware--54e8672d-5338-4ad1-954a-a7c986bee530,zwShell,malware,S0350,enterprise,Windows,enterprise-attack,,1,11,12,0.0054945054945054,0.0004578754578754,0.00503663003663,0.0,0.0004578754578754,0,1,0,-1.060527440544491,0.6906123254613141
malware--552462b9-ae79-49dd-855c-5973014e157f,Zeroaccess,malware,S0027,enterprise,,enterprise-attack,,0,2,2,0.0009157509157509,0.0,0.0009157509157509,0.0,0.0,3,1,0,-1.3532149084493763,-0.0351971552180129
malware--554e010d-726b-439d-9a1a-f60fff0cc109,GLASSTOKEN,malware,S1117,enterprise,Network Devices,enterprise-attack,,1,4,5,0.0022893772893772,0.0004578754578754,0.0018315018315018,0.0,0.0004578754578754,1,1,0,-1.1007970573438026,0.0439260778372891
malware--5633ffd3-81ef-4f98-8f93-4896b03998f0,DCSrv,malware,S1033,enterprise,Windows,enterprise-attack,,1,8,9,0.0041208791208791,0.0004578754578754,0.0036630036630036,0.0,0.0004578754578754,0,1,0,-1.1279745786934483,0.5153631221487285
malware--56aa3c82-ed40-4b5a-84bf-7231356d9e96,DRATzarus,malware,S0694,enterprise,Windows,enterprise-attack,,1,13,14,0.0064102564102564,0.0004578754578754,0.0059523809523809,0.0,0.0004578754578754,0,1,0,-1.0044752085840785,0.7877391910931333
malware--56d10a7f-bb42-4267-9b4c-63abb9c06010,BOOSTWRITE,malware,S0415,enterprise,Windows,enterprise-attack,,1,5,6,0.0027472527472527,0.0004578754578754,0.0022893772893772,0.0,0.0004578754578754,0,1,0,-1.0790032483008138,0.1332015847821383
malware--56e6b6c2-e573-4969-8bab-783205cebbbf,Rising Sun,malware,S0448,enterprise,Windows,enterprise-attack,,1,20,21,0.0096153846153846,0.0004578754578754,0.0091575091575091,0.0001099907879568,0.0004578754578754,0,1,0,-0.6803683754427785,1.678213484948121
malware--56f46b17-8cfa-46c0-b501-dd52fef394e2,ASPXSpy,malware,S0073,enterprise,Windows,enterprise-attack,,6,1,7,0.0032051282051282,0.0027472527472527,0.0004578754578754,4.5829494982037355e-06,0.0027472527472527,1,1,0,-0.8769858242413314,0.0282605393906506
malware--5719af9d-6b16-46f9-9b28-fb019541ddbb,NotPetya,malware,S0368,enterprise,Windows,enterprise-attack | ics-attack,,1,17,18,0.0082417582417582,0.0004578754578754,0.0077838827838827,0.0,0.0004578754578754,1,4,0,-1.1412621422465246,2.3401029459095306
malware--5763217a-05b6-4edd-9bca-057e47b5e403,ShimRat,malware,S0444,enterprise,Windows,enterprise-attack,,1,21,22,0.01007326007326,0.0004578754578754,0.0096153846153846,0.0,0.0004578754578754,0,1,0,-0.9465783786590022,1.471835702268984
malware--579607c2-d046-40df-99ab-beb479c37a2a,Chrommme,malware,S0667,enterprise,Windows,enterprise-attack,,0,14,14,0.0064102564102564,0.0,0.0064102564102564,0.0,0.0,0,1,0,-1.0693918343955504,0.8725252885964994
malware--57d83eac-a2ea-42b0-a7b2-c80c55157790,BADFLICK,malware,S0642,enterprise,Windows,enterprise-attack,,1,10,11,0.00503663003663,0.0004578754578754,0.0045787545787545,0.0,0.0004578754578754,0,1,0,-1.055291136941382,0.5829310829156882
malware--5864e59f-eb4c-43ad-83b2-b5e4fae056c9,ObliqueRAT,malware,S0644,enterprise,Windows,enterprise-attack,,1,14,15,0.0068681318681318,0.0004578754578754,0.0064102564102564,0.0,0.0004578754578754,0,1,0,-0.9764490926038752,0.8363026239090443
malware--58adaaa8-f1e8-4606-9a08-422e568461eb,SHOTPUT,malware,S0063,enterprise,Windows,enterprise-attack,,1,6,7,0.0032051282051282,0.0004578754578754,0.0027472527472527,0.0,0.0004578754578754,1,1,0,-1.1279008743416716,0.2888474677933958
malware--58c5a3a1-928f-4094-9e98-a5a4e56dd5f3,Avaddon,malware,S0640,enterprise,Windows,enterprise-attack,,0,17,17,0.0077838827838827,0.0,0.0077838827838827,0.0,0.0,0,1,0,-1.051838325621561,1.136451206503651
malware--58eddbaf-7416-419a-ad7b-e65b9d4c3b55,Conficker,malware,S0608,enterprise,Windows,enterprise-attack | ics-attack,,0,16,16,0.0073260073260073,0.0,0.0073260073260073,0.0,0.0,0,4,0,-1.1853072579973432,2.2206797275857344
malware--5911d2ca-64f6-49b3-b94f-29b5d185085c,SocGholish,malware,S1124,enterprise,Windows,enterprise-attack,,1,19,20,0.0091575091575091,0.0004578754578754,0.0086996336996337,0.0,0.0004578754578754,1,1,0,-0.9298734645155688,1.2157611430487936
malware--592260fb-dd5c-4a30-8d99-106a0485be0d,Flagpro,malware,S0696,enterprise,Windows,enterprise-attack,,1,24,25,0.0114468864468864,0.0004578754578754,0.0109890109890109,0.0,0.0004578754578754,0,1,0,-0.912393660093354,1.70620271531128
malware--5967cc93-57c9-404a-8ffd-097edfa7bdfc,Hi-Zor,malware,S0087,enterprise,Windows,enterprise-attack,,0,9,9,0.0041208791208791,0.0,0.0041208791208791,0.0,0.0,0,1,0,-1.1596287849216078,0.5410314099223795
