id,name,type,external_id,dataset,platforms,domains,tactics,in_degree,out_degree,total_degree,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness_centrality,closeness_centrality,community_id,cluster_id,is_anomaly,pca_x,pca_y
attack-pattern--16cdd21f-da65-4e4f-bc04-dd7d198c7b26,Search Victim-Owned Websites,attack-pattern,T1594,enterprise,PRE,enterprise-attack,reconnaissance,10,0,10,0.0056947608200455,0.0056947608200455,0.0,0.0,0.0056947608200455,1,2,0,0.4453279095288642,-1.7799018656200942
attack-pattern--16e94db9-b5b1-4cd0-b851-f38fbd0a70f2,Cloud Groups,attack-pattern,T1069.003,enterprise,SaaS | IaaS | Office Suite | Identity Provider,enterprise-attack,discovery,4,1,5,0.0028473804100227,0.0022779043280182,0.0005694760820045,0.0,0.0025626423690205,1,2,0,0.250204445061263,-1.8060371718139685
attack-pattern--17cc750b-e95b-4d7d-9dde-49e0de24148c,Services Registry Permissions Weakness,attack-pattern,T1574.011,enterprise,Windows,enterprise-attack,persistence | privilege-escalation | defense-evasion,2,1,3,0.0017084282460136,0.0011389521640091,0.0005694760820045,0.0,0.0011389521640091,2,2,0,0.7855304418101098,-3.1989663535165076
attack-pattern--17fd695c-b88c-455a-a3d1-43b6cb728532,DNS/Passive DNS,attack-pattern,T1596.001,enterprise,PRE,enterprise-attack,reconnaissance,1,1,2,0.0011389521640091,0.0005694760820045,0.0005694760820045,0.0,0.0005694760820045,1,2,0,-0.2865675597331478,-1.5430171898445246
attack-pattern--18cffc21-3260-437e-80e4-4ab8bf2ba5e9,Application Exhaustion Flood,attack-pattern,T1499.003,enterprise,Windows | IaaS | Linux | macOS,enterprise-attack,impact,1,1,2,0.0011389521640091,0.0005694760820045,0.0005694760820045,0.0,0.0005694760820045,3,2,0,0.3760263310008886,-2.4570534730664386
attack-pattern--191cc6af-1bb2-4344-ab5f-28e496638720,Compromise Software Dependencies and Development Tools,attack-pattern,T1195.001,enterprise,Linux | macOS | Windows,enterprise-attack,initial-access,6,1,7,0.0039863325740318,0.0034168564920273,0.0005694760820045,0.0,0.0034880410022779,1,2,0,1.0481476077900216,-2.83380975119418
attack-pattern--19401639-28d0-4c3c-adcc-bc2ba22f6421,Digital Certificates,attack-pattern,T1588.004,enterprise,PRE,enterprise-attack,resource-development,11,1,12,0.0068337129840546,0.0062642369020501,0.0005694760820045,1.9004168586552795e-06,0.0062642369020501,1,2,0,0.3517687662763153,-1.4467888301580665
attack-pattern--197ef1b9-e764-46c3-b96c-23f77985dc81,DNS Server,attack-pattern,T1583.002,enterprise,PRE,enterprise-attack,resource-development,4,1,5,0.0028473804100227,0.0022779043280182,0.0005694760820045,0.0,0.0022779043280182,1,2,0,-0.2265933996567162,-1.3281203602641671
attack-pattern--1988cc35-ced8-4dad-b2d1-7628488fa967,Disk Wipe,attack-pattern,T1561,enterprise,Linux | macOS | Windows | Network Devices,enterprise-attack,impact,3,0,3,0.0017084282460136,0.0017084282460136,0.0,0.0,0.010152141511291,0,2,0,0.2837419433651612,-1.7378823368479597
attack-pattern--1996eef1-ced3-4d7f-bf94-33298cabbf72,DNS,attack-pattern,T1071.004,enterprise,Linux | macOS | Windows | Network Devices | ESXi,enterprise-attack,command-and-control,55,1,56,0.0318906605922551,0.0313211845102505,0.0005694760820045,7.126563219957298e-06,0.0417615793470007,0,2,0,3.1412476209328397,-0.3853395764639672
attack-pattern--19bf235b-8620-4997-b5b4-94e0659ed7c3,Cloud Instance Metadata API,attack-pattern,T1552.005,enterprise,IaaS,enterprise-attack,credential-access,6,1,7,0.0039863325740318,0.0034168564920273,0.0005694760820045,0.0,0.0034168564920273,1,2,0,0.2195798671658911,-1.77278951506894
attack-pattern--1a80d097-54df-41d8-9d33-34e755ec5e72,Securityd Memory,attack-pattern,T1555.002,enterprise,Linux | macOS,enterprise-attack,credential-access,1,1,2,0.0011389521640091,0.0005694760820045,0.0005694760820045,0.0,0.0005694760820045,3,2,0,-0.1516748341174986,-1.8295969044217308
attack-pattern--1b20efbf-8063-4fc3-a07d-b575318a301b,Group Policy Discovery,attack-pattern,T1615,enterprise,Windows,enterprise-attack,discovery,7,0,7,0.0039863325740318,0.0039863325740318,0.0,0.0,0.0099503002692068,1,2,0,0.2676451088556008,-1.6635053490002976
attack-pattern--1b7b1806-7746-41a1-a35d-e48dae25ddba,Bootkit,attack-pattern,T1542.003,enterprise,Linux | Windows,enterprise-attack,persistence | defense-evasion,11,1,12,0.0068337129840546,0.0062642369020501,0.0005694760820045,1.7103751727897516e-05,0.0067437957079486,1,2,0,0.5759851583738698,-1.6367527633960128
attack-pattern--1b7ba276-eedc-4951-a762-0ceea2c030ec,Data from Removable Media,attack-pattern,T1025,enterprise,Linux | macOS | Windows,enterprise-attack,collection,25,0,25,0.0142369020501138,0.0142369020501138,0.0,0.0,0.0159104644135558,0,2,0,1.515835087580403,-1.5595966270165036
attack-pattern--1bae753e-8e52-4055-a66d-2ead90303ca9,Mavinject,attack-pattern,T1218.013,enterprise,Windows,enterprise-attack,defense-evasion,3,1,4,0.0022779043280182,0.0017084282460136,0.0005694760820045,0.0,0.0018223234624145,2,2,0,-0.3124445837537104,-1.3811065507113285
